RaceID,SeriesID,SeriesName,Season,Name,Day,DateTime,Track,IsInProgress,IsOver
1002,1,NASCAR Cup,2025,Cook Out Clash at Bowman Gray,2025-02-02T00:00:00,2025-02-02 20:00:00,Bowman Gray Stadium,False,True
1003,1,NASCAR Cup,2025,Duel 1 at DAYTONA,2025-02-13T00:00:00,2025-02-13 19:00:00,Daytona International Speedway,False,True
1004,1,NASCAR Cup,2025,Duel 2 at DAYTONA,2025-02-13T00:00:00,2025-02-13 20:45:00,Daytona International Speedway,False,True
1076,3,NASCAR Craftsman Truck,2025,Fresh From Florida 250,2025-02-14T00:00:00,2025-02-14 19:30:00,Daytona International Speedway,False,True
1043,2,NASCAR O’Reilly Auto Parts,2025,United Rentals 300,2025-02-15T00:00:00,2025-02-15 17:00:00,Daytona International Speedway,False,True
1005,1,NASCAR Cup,2025,DAYTONA 500,2025-02-16T00:00:00,2025-02-16 14:30:00,Daytona International Speedway,False,True
1077,3,NASCAR Craftsman Truck,2025,Fr8 Racing 208,2025-02-22T00:00:00,2025-02-22 13:30:00,Atlanta Motor Speedway,False,True
1044,2,NASCAR O’Reilly Auto Parts,2025,Bennett Transportation & Logistics 250,2025-02-22T00:00:00,2025-02-22 17:00:00,Atlanta Motor Speedway,False,True
1006,1,NASCAR Cup,2025,Ambetter Health 400,2025-02-23T00:00:00,2025-02-23 15:00:00,Atlanta Motor Speedway,False,True
1045,2,NASCAR O’Reilly Auto Parts,2025,Focused Health 250,2025-03-01T00:00:00,2025-03-01 14:30:00,Circuit of The Americas,False,True
1007,1,NASCAR Cup,2025,EchoPark Automotive Grand Prix,2025-03-02T00:00:00,2025-03-02 15:30:00,Circuit of The Americas,False,True
1046,2,NASCAR O’Reilly Auto Parts,2025,GOVX 200,2025-03-08T00:00:00,2025-03-08 17:00:00,Phoenix Raceway,False,True
1008,1,NASCAR Cup,2025,Shriners Children's 500,2025-03-09T00:00:00,2025-03-09 15:30:00,Phoenix Raceway,False,True
1078,3,NASCAR Craftsman Truck,2025,Ecosave 200,2025-03-14T00:00:00,2025-03-14 21:00:00,Las Vegas Motor Speedway,False,True
1047,2,NASCAR O’Reilly Auto Parts,2025,The LiUNA!,2025-03-15T00:00:00,2025-03-15 16:30:00,Las Vegas Motor Speedway,False,True
1009,1,NASCAR Cup,2025,Pennzoil 400 presented by Jiffy Lube,2025-03-16T00:00:00,2025-03-16 15:30:00,Las Vegas Motor Speedway,False,True
1079,3,NASCAR Craftsman Truck,2025,Baptist Health 200,2025-03-21T00:00:00,2025-03-21 20:00:00,Homestead-Miami Speedway,False,True
1048,2,NASCAR O’Reilly Auto Parts,2025,Hard Rock Bet 300,2025-03-22T00:00:00,2025-03-22 16:00:00,Homestead-Miami Speedway,False,True
1010,1,NASCAR Cup,2025,Straight Talk Wireless 400,2025-03-23T00:00:00,2025-03-23 15:00:00,Homestead-Miami Speedway,False,True
1080,3,NASCAR Craftsman Truck,2025,Boys and Girls Club of the Blue Ridge 200,2025-03-28T00:00:00,2025-03-28 19:30:00,Martinsville Speedway,False,True
1049,2,NASCAR O’Reilly Auto Parts,2025,US Marine Corps 250,2025-03-29T00:00:00,2025-03-29 17:00:00,Martinsville Speedway,False,True
1011,1,NASCAR Cup,2025,Cook Out 400,2025-03-30T00:00:00,2025-03-30 15:00:00,Martinsville Speedway,False,True
1050,2,NASCAR O’Reilly Auto Parts,2025,Sport Clips Haircuts VFW Help a Hero 200,2025-04-05T00:00:00,2025-04-05 15:30:00,Darlington Raceway,False,True
1012,1,NASCAR Cup,2025,Goodyear 400,2025-04-06T00:00:00,2025-04-06 15:00:00,Darlington Raceway,False,True
1081,3,NASCAR Craftsman Truck,2025,Weather Guard Truck Race,2025-04-11T00:00:00,2025-04-11 19:30:00,Bristol Motor Speedway,False,True
1051,2,NASCAR O’Reilly Auto Parts,2025,SciAps 300,2025-04-12T00:00:00,2025-04-12 17:00:00,Bristol Motor Speedway,False,True
1013,1,NASCAR Cup,2025,Food City 500,2025-04-13T00:00:00,2025-04-13 15:00:00,Bristol Motor Speedway,False,True
1082,3,NASCAR Craftsman Truck,2025,Black’s Tire 200,2025-04-18T00:00:00,2025-04-18 17:00:00,Rockingham Speedway,False,True
1052,2,NASCAR O’Reilly Auto Parts,2025,North Carolina Education Lottery 250 presented by Black’s Tire,2025-04-19T00:00:00,2025-04-19 16:00:00,Rockingham Speedway,False,True
1053,2,NASCAR O’Reilly Auto Parts,2025,Ag-Pro 300,2025-04-26T00:00:00,2025-04-26 16:00:00,Talladega Superspeedway,False,True
1014,1,NASCAR Cup,2025,Jack Link's 500,2025-04-27T00:00:00,2025-04-27 15:00:00,Talladega Superspeedway,False,True
1083,3,NASCAR Craftsman Truck,2025,SpeedyCash.com 250,2025-05-02T00:00:00,2025-05-02 20:00:00,Texas Motor Speedway,False,True
1054,2,NASCAR O’Reilly Auto Parts,2025,Andy's Frozen Custard 300,2025-05-03T00:00:00,2025-05-03 14:00:00,Texas Motor Speedway,False,True
1015,1,NASCAR Cup,2025,Würth 400 presented by LIQUI MOLY,2025-05-04T00:00:00,2025-05-04 15:30:00,Texas Motor Speedway,False,True
1084,3,NASCAR Craftsman Truck,2025,Heart of Health Care 200,2025-05-10T00:00:00,2025-05-10 19:30:00,Kansas Speedway,False,True
1016,1,NASCAR Cup,2025,AdventHealth 400,2025-05-11T00:00:00,2025-05-11 15:00:00,Kansas Speedway,False,True
1085,3,NASCAR Craftsman Truck,2025,Window World 250,2025-05-17T00:00:00,2025-05-17 13:30:00,North Wilkesboro Speedway,False,True
1017,1,NASCAR Cup,2025,NASCAR All-Star Open,2025-05-18T00:00:00,2025-05-18 17:30:00,North Wilkesboro Speedway,False,True
