TableID,TableName,Name,DataType,Size,Nullable,Description,IsInCSV,Scrambled
8001000,Series,SeriesID,integer,32,False,The unique ID of this series,True,False
8001000,Series,Name,string,50,False,The name of this series,True,False
8002000,Race,RaceID,integer,32,False,The unique ID of this race,True,False
8002000,Race,SeriesID,integer,32,False,The unique ID of the series that this race is associated with,True,False
8002000,Race,SeriesName,string,50,False,The name of the series that this race is associated with,True,False
8002000,Race,Season,integer,32,False,The season that this race is associated with,True,False
8002000,Race,Name,string,100,False,The name of this race,True,False
8002000,Race,Day,date,,False,The day of this race,True,False
8002000,Race,DateTime,datetime,,True,The date/time of this race,True,False
8002000,Race,Track,string,100,True,The name of the track for this race,True,False
8002000,Race,Broadcast,string,50,True,The broadcast airing this race,False,False
8002000,Race,WinnerID,integer,32,True,The unique ID of the driver who won this race,True,False
8002000,Race,PoleWinnerID,integer,32,True,The unique ID of the driver who won the qualifying pole,True,False
8002000,Race,IsInProgress,boolean,,False,Indicates whether this race is currently in progress,False,False
8002000,Race,IsOver,boolean,,False,Indicates whether this race is over,True,False
8002000,Race,Updated,datetime,,True,The date/time when this race was last updated,True,False
8002000,Race,Created,datetime,,True,The date/time when this race was created (in US Eastern Time),False,False
8002000,Race,RescheduledDay,date,,False,The day that this is race is rescheduled for (if race was postponed),True,False
8002000,Race,RescheduledDateTime,datetime,,True,The date/time that this is race is rescheduled for (if race was postponed),True,False
8002000,Race,Canceled,boolean,,False,Indicates whether this race has been canceled,True,False
8002000,Race,ScheduledLaps,integer,32,True,Number of laps scheduled for this race,True,
8002000,Race,ActualLaps,integer,32,True,Total number of laps ran for this race,False,
8019000,Tracks,Track,string,100,True,The name of the track for this race,True,False
8025000,FantasyRace,DriverID,integer,32,False,The unique ID of this driver (assigned by SportsDataIO),True,False
8025000,FantasyRace,Season,integer,32,False,The season that this race is associated with,True,False
8025000,FantasyRace,Day,date,,True,The day of this race,True,False
8025000,FantasyRace,DateTime,datetime,,True,The date/time of this race,True,False
8025000,FantasyRace,Name,string,100,True,The name of this race,True,False
8025000,FantasyRace,FantasyPoints,decimal,32,True,The fantasy points scored by this driver,True,False
8025000,FantasyRace,FantasyPointsDraftKings,decimal,32,True,The fantasy points scored by this driver; according to the DraftKings scoring system,True,False
8025000,FantasyRace,Updated,datetime,,False,The date/time when this race was last updated,True,False
8023000,RaceBasic,RaceID,integer,32,False,The unique ID of this race,True,False
8023000,RaceBasic,Day,date,,False,The day of this race,True,False
8023000,RaceBasic,DateTime,datetime,,True,The date/time of this race,True,False
8023000,RaceBasic,Updated,datetime,,True,The date/time when this race was last updated,True,False
8023000,RaceBasic,Created,datetime,,True,The date/time when this race was created (in US Eastern Time),False,False
8003000,Driver,DriverID,integer,32,False,The unique ID of this driver (assigned by SportsDataIO),True,False
8003000,Driver,FirstName,string,50,False,The driver's first name,True,False
8003000,Driver,LastName,string,50,False,The driver's last name,True,False
8003000,Driver,Number,integer,32,True,The driver's car number,True,False
8003000,Driver,NumberDisplay,string,10,True,The driver's car number for display purposes (with leading zeros when necessary),True,False
8003000,Driver,Team,string,100,True,The driver's team name,True,False
8003000,Driver,BirthDate,date,,True,The driver's birthdate,False,False
8003000,Driver,BirthPlace,string,100,True,The driver's birthplace,False,False
8003000,Driver,Gender,string,10,True,The driver's gender,True,False
8003000,Driver,Height,integer,32,True,The driver's height,True,False
8003000,Driver,Weight,integer,32,True,The driver's weight,True,False
8003000,Driver,Manufacturer,string,50,True,The manufacturer of the driver's car,True,False
8003000,Driver,Engine,string,50,True,The engine type of the driver's car,True,False
8003000,Driver,Chassis,string,50,True,The chassis of the driver's car,True,False
8003000,Driver,Sponsors,string,100,True,The names of the sponsor(s) of the driver,True,False
